id,category,vulnerability_family,error_name,priority,severity,target_action,oracle_required,evidence_required,reward_trigger,reward_evidence,reward_control,reward_reproduce,reward_confirm,penalty_fp,penalty_duplicate,penalty_unsafe,safe_fixture,source_reference
SEC-032,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (profile),상,1.0,일반 역할로 profile 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-032,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-033,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (reports),상,1.0,일반 역할로 reports 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-033,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-034,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (invoices),상,1.0,일반 역할로 invoices 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-034,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-035,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (files),상,1.0,일반 역할로 files 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-035,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-036,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (messages),상,1.0,일반 역할로 messages 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-036,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-037,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (appointments),상,1.0,일반 역할로 appointments 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-037,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-038,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (cart),상,1.0,일반 역할로 cart 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-038,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-039,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (checkout),상,1.0,일반 역할로 checkout 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-039,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-040,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (search),상,1.0,일반 역할로 search 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-040,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-041,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (notifications),상,1.0,일반 역할로 notifications 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-041,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-042,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (payments),상,1.0,일반 역할로 payments 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-042,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-043,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (shipping),상,1.0,일반 역할로 shipping 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-043,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-044,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (returns),상,1.0,일반 역할로 returns 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-044,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-045,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (reviews),상,1.0,일반 역할로 reviews 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-045,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-046,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (coupons),상,1.0,일반 역할로 coupons 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-046,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-047,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (wishlist),상,1.0,일반 역할로 wishlist 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-047,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-048,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (support),상,1.0,일반 역할로 support 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-048,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-049,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (analytics),상,1.0,일반 역할로 analytics 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-049,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-050,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (exports),상,1.0,일반 역할로 exports 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-050,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-051,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (imports),상,1.0,일반 역할로 imports 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-051,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-052,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (documents),상,1.0,일반 역할로 documents 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-052,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-053,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (teams),상,1.0,일반 역할로 teams 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-053,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-054,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (roles),상,1.0,일반 역할로 roles 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-054,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-055,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (audit-logs),상,1.0,일반 역할로 audit-logs 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-055,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-056,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (subscriptions),상,1.0,일반 역할로 subscriptions 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-056,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-057,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (devices),상,1.0,일반 역할로 devices 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-057,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-058,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (api-keys),상,1.0,일반 역할로 api-keys 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-058,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-059,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (webhooks),상,1.0,일반 역할로 webhooks 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-059,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-060,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (jobs),상,1.0,일반 역할로 jobs 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-060,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-061,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (orders),상,1.0,권한 회수 후 기존 세션으로 orders 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-061,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-062,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (profile),상,1.0,권한 회수 후 기존 세션으로 profile 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-062,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-063,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (reports),상,1.0,권한 회수 후 기존 세션으로 reports 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-063,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-064,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (invoices),상,1.0,권한 회수 후 기존 세션으로 invoices 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-064,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-065,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (files),상,1.0,권한 회수 후 기존 세션으로 files 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-065,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-066,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (messages),상,1.0,권한 회수 후 기존 세션으로 messages 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-066,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-067,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (appointments),상,1.0,권한 회수 후 기존 세션으로 appointments 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-067,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-068,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (cart),상,1.0,권한 회수 후 기존 세션으로 cart 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-068,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-069,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (checkout),상,1.0,권한 회수 후 기존 세션으로 checkout 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-069,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-070,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (search),상,1.0,권한 회수 후 기존 세션으로 search 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-070,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-071,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (notifications),상,1.0,권한 회수 후 기존 세션으로 notifications 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-071,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-072,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (payments),상,1.0,권한 회수 후 기존 세션으로 payments 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-072,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-073,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (shipping),상,1.0,권한 회수 후 기존 세션으로 shipping 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-073,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-074,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (returns),상,1.0,권한 회수 후 기존 세션으로 returns 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-074,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-075,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (reviews),상,1.0,권한 회수 후 기존 세션으로 reviews 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-075,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-076,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (coupons),상,1.0,권한 회수 후 기존 세션으로 coupons 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-076,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-077,access-control,permission-drift,권한 변경 후 이전 권한 재사용 (wishlist),상,1.0,권한 회수 후 기존 세션으로 wishlist 재호출,회수 뒤 보호 자원 접근이 성공하면 취약,role_diff;session;status;access_log,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-077,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
